word,lemmas,points
freebee,freebee,3
freebie,freebie,2
freedom,freedom,1
freegan,freegan,3
freeing,free,1
freeman,freeman,3
freemen,freeman,3
freesia,freesia,2
freeway,freeway,1
freezer,freezer,1
freezes,freeze,1
freight,freight,1
frenemy,frenemy,3
frenula,frenulum,3
frenums,frenum,3
frescos,fresco,2
fresher,fresh|fresher,1
freshet,freshet,3
fresnel,fresnel,3
fretsaw,fretsaw,3
fretter,fretter,3
fricots,fricot,3
fridges,fridge,1
friends,friend,1
friezes,frieze,2
frigate,frigate,2
frights,fright,2
frijole,frijole,3
friller,friller,3
fringes,fringe,1
frisbee,frisbee,2
frisees,frisee,3
friseur,friseur,3
frisker,frisker,3
frisket,frisket,3
frisson,frisson,2
fritter,fritter,2
fritzes,fritz,3
frizers,frizer,3
frizzer,frizzer,3
frocked,frock,2
frogeye,frogeye,3
froglet,froglet,3
frogman,frogman,2
frogmen,frogman,2
frolics,frolic,2
fromage,fromage,3
frontal,frontal,2
frontes,frons,3
fronton,fronton,3
froshes,frosh,3
frosted,frost|frosted,2
frother,frother,3
frowner,frowner,3
fruiter,fruiter,3
frustum,frustum,3
frypans,frypan,3
fuchsia,fuchsia,2
fuchsin,fuchsin,3
fuckers,fucker,2
fuckoff,fuckoff,3
fuckups,fuckup,3
fuckwit,fuckwit,3
fucoids,fucoid,3
fucoses,fucose,3
fucuses,fucus,3
fuddies,fuddy,3
fuehrer,fuehrer,3
fuelers,fueler,3
fueller,fueller,3
fugatos,fugato,3
fuguist,fuguist,3
fuhrers,fuhrer,2
fulcrum,fulcrum,2
fulhams,fulham,3
fullams,fullam,3
fullers,fuller,2
fullery,fullery,3
fulmars,fulmar,3
fulness,fulness,2
fumbler,fumbler,3
fumbles,fumble,1
fumette,fumette,3
fumulus,fumulus,3
functor,functor,3
funders,funder,2
funding,fund|funding,1
funeral,funeral,1
funfair,funfair,3
funfest,funfest,3
fungals,fungal,2
fungoes,fungo,3
fungoid,fungoid,3
funicle,funicle,3
funkers,funker,3
funkias,funkia,3
funnels,funnel,2
funnies,funny,1
funplex,funplex,3
funster,funster,3
furanes,furane,3
furball,furball,3
furcula,furcula|furculum,3
furlers,furler,3
furlong,furlong,2
furmety,furmety,3
furmity,furmity,3
furnace,furnace,2
furores,furore,2
furrier,furrier|furry,2
furring,fur|furring,1
furrows,furrow,2
fusains,fusain,3
fusaria,fusarium,3
fusilli,fusilli,2
fusions,fusion,1
fussers,fusser,3
fussing,fuss,1
fusspot,fusspot,3
fustian,fustian,3
fustics,fustic,3
futharc,futharc,3
futhark,futhark,3
futhorc,futhorc,3
futhork,futhork,3
futtock,futtock,3
futures,future,1
fylfots,fylfot,3
fabliaux,fabliau,3
fabrique,fabrique,3
fabulism,fabulism,3
fabulist,fabulist,3
facedown,facedown,2
facemask,facemask,2
faceoffs,faceoff,3
facetiae,facetiae,3
faceting,facet|faceting,1
faciends,faciend,3
facility,facility,1
factices,factice,3
factions,faction,1
factoids,factoid,2
factotum,factotum,3
factures,facture,3
faddisms,faddism,3
faddists,faddist,3
fadeaway,fadeaway,3
fadeouts,fadeout,3
fagoters,fagoter,3
fagoting,fagot|fagoting,3
fahlband,fahlband,3
faiences,faience,3
failings,failing,2
failures,failure,1
faineant,faineant,3
fainters,fainter,3
fairgoer,fairgoer,3
fairings,fairing,2
fairlead,fairlead,3
fairness,fairness,1
fairways,fairway,2
fairyism,fairyism,3
faithful,faithful,1
faitours,faitour,3
fakeries,fakery,2
falafels,falafel,2
falbalas,falbala,3
falchion,falchion,3
falconer,falconer,2
falconet,falconet,3
falconry,falconry,2
falderal,falderal,3
falderol,falderol,3
fallaway,fallaway,3
fallback,fallback,2
fallfish,fallfish,3
fallings,falling,2
falloffs,falloff,3
fallouts,fallout,1
falsetto,falsetto,2
faltboat,faltboat,3
falterer,falterer,3
familiar,familiar,1
families,family,1
familism,familism,3
fanatics,fanatic,2
fanciers,fancier,2
fandango,fandango,2
fanegada,fanegada,3
fanfares,fanfare,2
fanfaron,fanfaron,3
fangirls,fangirl,3
fanlight,fanlight,3
fantails,fantail,2
fantasia,fantasia,2
fantasie,fantasie,3
fantasms,fantasm,3
fantasts,fantast,3
fanworts,fanwort,3
fanzines,fanzine,2
faradays,faraday,3
faradism,faradism,3
farceurs,farceur,3
farewell,farewell,1
farfalle,farfalle,3
farinhas,farinha,3
farmhand,farmhand,2
farmings,farming,1
farmland,farmland,2
farmwife,farmwife,3
farmwork,farmwork,3
farmyard,farmyard,2
farnesol,farnesol,3
farolito,farolito,3
farragos,farrago,3
farriers,farrier,2
farriery,farriery,3
farsides,farside,2
farthing,farthing,2
fartleks,fartlek,3
fascicle,fascicle,3
fascines,fascine,3
fascisms,fascism,2
fascists,fascist,2
fascitis,fascitis,3
fashions,fashion,1
fastback,fastback,3
fastball,fastball,2
fastener,fastener,2
fastings,fasting,2
fastness,fastness,3
fatalism,fatalism,2
fatalist,fatalist,2
fatality,fatality,2
fatbacks,fatback,2
fatbirds,fatbird,3
fatheads,fathead,3
fathomer,fathomer,3
fatigues,fatigue,1
fatlings,fatling,3
fatstock,fatstock,3
fattener,fattener,3
fatwoods,fatwood,3
faubourg,faubourg,3
faucetry,faucetry,3
faulting,fault,1
faunists,faunist,3
fauteuil,fauteuil,3
fauvisms,fauvism,3
fauvists,fauvist,3
favellas,favella,3
favorers,favorer,3
favorite,favorite,1
favourer,favourer,3
fayalite,fayalite,3
fazendas,fazenda,3
fealties,fealty,2
feasance,feasance,3
feasters,feaster,3
feasting,feast,1
feathers,feather,1
features,feature,1
fedayeen,fedayee,3
federacy,federacy,3
federals,federal,1
feedback,feedback,1
feedbags,feedbag,3
feedhole,feedhole,3
feedings,feeding,2
feedlots,feedlot,2
feedyard,feedyard,3
feelings,feeling,1
feigners,feigner,3
felafels,felafel,3
feldsher,feldsher,3
feldspar,feldspar,2
felicity,felicity,2
felinity,felinity,3
fellahin,fellah,3
fellatio,fellatio,2
fellator,fellator,3
fellness,fellness,3
felonies,felony,1
felsites,felsite,3
felspars,felspar,3
felstone,felstone,3
feltings,felting,3
feluccas,felucca,3
felworts,felwort,3
feminacy,feminacy,3
feminazi,feminazi,2
feminine,feminine,1
feminism,feminism,1
feminist,feminist,1
feminity,feminity,3
fencerow,fencerow,3
fencible,fencible,3
fencings,fencing,2
fenestra,fenestra,3
fenlands,fenland,3
fentanyl,fentanyl,2
fenthion,fenthion,3
fenurons,fenuron,3
feoffees,feoffee,3
feoffers,feoffer,3
feoffors,feoffor,3
feracity,feracity,3
feretory,feretory,3
ferities,ferity,3
fermatas,fermata,3
ferments,ferment,2
fermions,fermion,2
fermiums,fermium,3
ferocity,ferocity,2
ferrates,ferrate,3
ferreter,ferreter,3
ferriage,ferriage,3
ferrites,ferrite,3
ferritin,ferritin,2
ferrules,ferrule,3
ferryman,ferryman,2
ferrymen,ferryman,2
fervency,fervency,3
fervours,fervour,2
festival,festival,1
festoons,festoon,2
fetation,fetation,3
fetchers,fetcher,3
feterita,feterita,3
fetiales,fetialis,3
fetialis,fetialis,3
fetiches,fetich,3
feticide,feticide,3
fetidity,fetidity,3
fetishes,fetish,2
fetlocks,fetlock,3
fetology,fetology,3
fetterer,fetterer,3
fettlers,fettler,3
fettling,fettle|fettling,3
feudists,feudist,3
feverfew,feverfew,3
fewtrils,fewtrils,3
fiancees,fiancee,2
fiascoes,fiasco,2
fibranne,fibranne,3
fibrates,fibrate,3
fibrilla,fibrilla,3
fibroids,fibroid,2
fibroins,fibroin,3
fibromas,fibroma,3
fibroses,fibrosis,2
fibrosis,fibrosis,2
fibsters,fibster,3
fictions,fiction,1
fiddlers,fiddler,2
fiddling,fiddle|fiddling,2
fideisms,fideism,3
fideists,fideist,3
fidelity,fidelity,1
fidgeter,fidgeter,3
fiefdoms,fiefdom,2
fielders,fielder,2
fifteens,fifteen,1
fiftieth,fiftieth,2
figeater,figeater,3
fighters,fighter,1
fighting,fight|fighting,1
figments,figment,2
figtrees,figtree,3
figuline,figuline,3
figurant,figurant,3
figurers,figurer,3
figurine,figurine,2
figuring,figure,1
figworts,figwort,3
filament,filament,2
filarees,filaree,3
filariae,filaria,3
filariid,filariid,3
filature,filature,3
filberts,filbert,2
filchers,filcher,3
filefish,filefish,3
filename,filename,2
filibegs,filibeg,3
filicide,filicide,3
filigree,filigree,2
filister,filister,3
filleter,filleter,3
fillings,filling,1
filmcard,filmcard,3
filmdoms,filmdom,3
filmfest,filmfest,3
filmgoer,filmgoer,2
filmland,filmland,3
filterer,filterer,3
fimbriae,fimbria,3
finagler,finagler,3
finalism,finalism,3
finalist,finalist,1
finality,finality,2
finances,finance,1
finbacks,finback,3
findings,finding,1
fineness,fineness,2
fineries,finery,2
finfoots,finfoot,3
fingerer,fingerer,3
finisher,finisher,2
finishes,finish,1
finitism,finitism,3
finitist,finitist,3
finitude,finitude,2
finmarks,finmark,3
finnmark,finnmark,3
finochio,finochio,3
firearms,firearm,1
fireback,fireback,3
fireball,fireball,2
firebase,firebase,3
firebird,firebird,2
fireboat,fireboat,3
firebomb,firebomb,2
firebrat,firebrat,3
firebugs,firebug,3
fireclay,fireclay,3
firedamp,firedamp,3
firedogs,firedog,3
firehall,firehall,3
firehose,firehose,2
firelock,firelock,3
firepans,firepan,3
firepink,firepink,3
firepits,firepit,2
fireplug,fireplug,3
firepots,firepot,3
firereel,firereel,3
fireroom,fireroom,3
fireship,fireship,3
fireside,fireside,2
firetrap,firetrap,3
firewall,firewall,2
fireweed,fireweed,3
firewood,firewood,2
firework,firework,3
fireworm,fireworm,3
firmness,firmness,2
firmware,firmware,2
fishboat,fishboat,3
fishbolt,fishbolt,3
fishbone,fishbone,3
fishbowl,fishbowl,2
fisheyes,fisheye,3
fishgigs,fishgig,3
fishhook,fishhook,2
fishings,fishing,1
fishkill,fishkill,3
fishline,fishline,3
fishmeal,fishmeal,2
fishnets,fishnet,2
fishpole,fishpole,3
fishpond,fishpond,2
fishtail,fishtail,2
fishways,fishway,3
fishwife,fishwife,3
fishworm,fishworm,3
fissiped,fissiped,3
fissures,fissure,2
fistfuls,fistful,2
fistings,fisting,3
fistnote,fistnote,3
fistulae,fistula,2
fistulas,fistula,2
fitchets,fitchet,3
fitchews,fitchew,3
fitments,fitment,3
fittings,fitting,2
fivepins,fivepins,3
fixatifs,fixatif,3
fixation,fixation,2
fixative,fixative,2
fixities,fixity,2
fixtures,fixture,1
flabella,flabella,3
flackery,flackery,3
flagella,flagella,3
flaggers,flagger,3
flagging,flag|flagging,1
flagpole,flagpole,2
flagship,flagship,2
flambeau,flambeau,3
flamenco,flamenco,2
flameout,flameout,2
flamines,flamen,3
flamingo,flamingo,2
flancard,flancard,3
flanerie,flanerie,3
flaneurs,flaneur,3
flangers,flanger,3
flanging,flange|flanging,2
flankers,flanker,2
flannels,flannel,2
flaperon,flaperon,3
flapjack,flapjack,2
flappers,flapper,2
flapping,flap,1
flareups,flareup,3
flashers,flasher,2
flashgun,flashgun,3
flashing,flash|flashing,1
flaskets,flasket,3
flatbeds,flatbed,2
flatboat,flatboat,3
flatbrod,flatbrod,3
flatcaps,flatcap,3
flatcars,flatcar,3
flatfeet,flatfoot,3
flatfish,flatfish,3
flatfoot,flatfoot,3
flathead,flathead,2
flatiron,flatiron,2
flatland,flatland,2
flatlets,flatlet,3
flatmate,flatmate,2
flatness,flatness,2
flatpack,flatpack,3
flattery,flattery,2
flatties,flattie,3
flattops,flattop,3
flatuses,flatus,3
flatware,flatware,2
flatwash,flatwash,3
flatwork,flatwork,3
flatworm,flatworm,2
flaunter,flaunter,3
flautist,flautist,3
flavanol,flavanol,3
flavines,flavine,3
flavones,flavone,3
flavonol,flavonol,3
flavorer,flavorer,3
flavours,flavour,3
flaxseed,flaxseed,2
fleabags,fleabag,2
fleabane,fleabane,3
fleabite,fleabite,3
fleapits,fleapit,3
fleawort,fleawort,3
flection,flection,3
fleecers,fleecer,3
flensers,flenser,3
fleshers,flesher,3
fleshing,flesh|fleshing,1
fleshpot,fleshpot,3
fletcher,fletcher,3
fleurons,fleuron,3
flexagon,flexagon,3
flexions,flexion,2
flextime,flextime,2
flexures,flexure,2
flexwing,flexwing,3
flickers,flicker,1
flimflam,flimflam,3
flimsies,flimsy,2
flincher,flincher,3
flinches,flinch,2
flinders,flinder,3
flingers,flinger,3
flinkite,flinkite,3
flipbook,flipbook,3
flippers,flipper,2
flirters,flirter,3
flirting,flirt,1
flitters,flitter,2
flivvers,flivver,3
flixweed,flixweed,3
floatage,floatage,3
floatels,floatel,3
floaters,floater,2
floccule,floccule,3
flocculi,flocculi,3
flocking,flock|flocking,1
floggers,flogger,3
flogging,flog|flogging,2
flokatis,flokati,3
flooders,flooder,3
flooding,flood|flooding,1
floodway,floodway,3
floorage,floorage,3
floorers,floorer,3
flooring,floor|flooring,1
floorpan,floorpan,3
floosies,floosie|floosy,3
floozies,floozie|floozy,2
flopover,flopover,3
floppers,flopper,2
floppies,floppy,2
florence,florence,3
florigen,florigen,3
florists,florist,2
flossers,flosser,3
flossies,flossie,3
flossing,floss|flossing,2
flotages,flotage,3
flotilla,flotilla,2
flotsams,flotsam,2
flounces,flounce,2
flounder,flounder,2
flourish,flourish,1
flouters,flouter,3
flouting,flout,2
flowages,flowage,3
flowerer,flowerer,3
floweret,floweret,3
flubbers,flubber,3
flubdubs,flubdub,3
fluerics,fluerics,3
fluffers,fluffer,3
fluidics,fluidics,3
fluidity,fluidity,2
fluidram,fluidram,3
flummery,flummery,3
flunkers,flunker,3
flunkeys,flunkey,3
flunkies,flunkie|flunky,2
fluorene,fluorene,3
fluoride,fluoride,2
fluorids,fluorid,3
fluorine,fluorine,2
fluorins,fluorin,3
fluorite,fluorite,3
flurries,flurry,2
flushers,flusher,3
flushing,flush|flushing,1
flutings,fluting,3
flutists,flutist,2
flutters,flutter,1
fluxgate,fluxgate,3
fluxions,fluxion,3
flyaways,flyaway,2
flybelts,flybelt,3
flyboats,flyboat,3
flylines,flyline,3
flyovers,flyover,2
flypaper,flypaper,3
flypasts,flypast,3
flysches,flysch,3
flysheet,flysheet,3
flytiers,flytier,3
flytings,flyting,3
flytraps,flytrap,3
flywheel,flywheel,2
foalings,foaling,3
focaccia,focaccia,2
focusers,focuser,2
focusing,focus,1
foetuses,foetus,2
fogeydom,fogeydom,3
fogeyism,fogeyism,3
fogfruit,fogfruit,3
foggages,foggage,3
foggings,fogging,3
foghorns,foghorn,2
foglight,foglight,3
fogydoms,fogydom,3
fogyisms,fogyism,3
foilists,foilist,3
foilsman,foilsman,3
foilsmen,foilsman,3
folacins,folacin,3
foldaway,foldaway,3
foldboat,foldboat,3
folderol,folderol,3
foldouts,foldout,3
foliages,foliage,1
folklife,folklife,2
folklore,folklore,2
folkmoot,folkmoot,3
folkmote,folkmote,3
folkmots,folkmot,3
folksong,folksong,3
folktale,folktale,2
folkways,folkway,3
follicle,follicle,2
follower,follower,1
followup,followup,3
fomenter,fomenter,3
fondants,fondant,2
fondlers,fondler,3
fondling,fondle|fondling,2
fondness,fondness,2
fontanel,fontanel,3
fontinas,fontina,2
foodland,foodland,3
foodways,foodways,3
foofaraw,foofaraw,3
foolfish,foolfish,3
foolscap,foolscap,3
foosball,foosball,2
footages,footage,1
footbags,footbag,3
football,football,1
footbath,footbath,3
footbeds,footbed,3
footboys,footboy,3
footfall,footfall,2
footgear,footgear,3
foothill,foothill,2
foothold,foothold,2
footings,footing,2
footlers,footler,3
footlong,footlong,3
footmark,footmark,3
footnote,footnote,1
footpace,footpace,3
footpads,footpad,2
footpath,footpath,2
footrace,footrace,2
footrest,footrest,2
footrope,footrope,3
footsies,footsie|footsy,2
footstep,footstep,1
footwall,footwall,3
footways,footway,3
footwear,footwear,2
footwell,footwell,3
footwork,footwork,2
foozlers,foozler,3
foragers,forager,2
foraging,forage,2
foramens,foramen,3
foramina,foramen,3
forayers,forayer,3
forbidal,forbidal,3
forceout,forceout,3
forcipes,forceps,2
forearms,forearm,1
forebays,forebay,3
forebear,forebear,2
forebody,forebody,3
foreboom,foreboom,3
forecast,forecast,1
foredeck,foredeck,2
foreface,foreface,3
forefeet,forefoot,2
forefoot,forefoot,2
foregoer,foregoer,3
foreguts,foregut,3
forehand,forehand,2
forehead,forehead,1
forehoof,forehoof,3
forelady,forelady,3
foreland,foreland,3
forelegs,foreleg,2
forelimb,forelimb,2
forelock,forelock,2
foremast,foremast,3
foremilk,foremilk,3
forename,forename,3
forenoon,forenoon,3
forensic,forensic,1
forepart,forepart,3
forepaws,forepaw,2
forepeak,forepeak,3
foreplay,foreplay,2
forerank,forerank,3
foresail,foresail,3
foreseer,foreseer,3
foreside,foreside,3
foreskin,foreskin,2
forestay,forestay,3
forester,forester,2
forestry,forestry,2
foretime,foretime,3
foretops,foretop,3
forevers,forever,1
forewing,forewing,3
foreword,foreword,2
foreyard,foreyard,3
forfeits,forfeit,2
forgings,forging,2
forgiver,forgiver,3
forgoers,forgoer,3
forkball,forkball,3
forkfuls,forkful,2
forklift,forklift,2
forksful,forkful,2
formalin,formalin,2
formants,formant,2
formates,formate,3
formicas,formica,3
formulae,formula,1
formulas,formula,1
formwork,formwork,3
fornices,fornix,3
forsaker,forsaker,3
fortieth,fortieth,2
fortress,fortress,1
fortuity,fortuity,3
fortunes,fortune,1
forwards,forward,1
forzandi,forzando,3
forzando,forzando,3
fossette,fossette,3
fosterer,fosterer,3
fouettes,fouette,3
foulards,foulard,3
foulings,fouling,3
foulness,foulness,2
founders,founder,1
founding,found,1
fountain,fountain,1
fourgons,fourgon,3
fourplex,fourplex,3
foursome,foursome,2
fourteen,fourteen,1
foveolae,foveola,3
foveolas,foveola,3
foveoles,foveole,3
foveolet,foveolet,3
fowlings,fowling,3
foxberry,foxberry,3
foxfires,foxfire,3
foxglove,foxglove,2
foxholes,foxhole,2
foxhound,foxhound,3
foxiness,foxiness,3
foxskins,foxskin,3
foxtails,foxtail,3
foziness,foziness,3
fracases,fracas,2
fracking,frack|fracking,2
fractals,fractal,2
fraction,fraction,1
fracture,fracture,1
fracturs,fractur,3
fraenums,fraenum,3
fragging,frag|fragging,3
fragment,fragment,1
frakturs,fraktur,2
framings,framing,2
francium,francium,3
frankers,franker,3
franklin,franklin,3
frankums,frankum,3
frascati,frascati,3
fraulein,fraulein,3
frayings,fraying,2
freakout,freakout,3
freckles,freckle,2
freebees,freebee,3
freebies,freebie,2
freedman,freedman,2
freedmen,freedman,2
freedoms,freedom,1
freegans,freegan,3
freehold,freehold,2
freeness,freeness,3
freeride,freeride,3
freesias,freesia,2
freeware,freeware,2
freeways,freeway,1
freewill,freewill,2
freezers,freezer,1
freezing,freeze|freezing,1
freights,freight,1
fremitus,fremitus,3
frenches,french,1
frenetic,frenetic,2
frenulum,frenulum,3
frenzies,frenzy,1
frescoer,frescoer,3
frescoes,fresco,2
freshers,fresher,3
freshets,freshet,3
freshman,freshman,1
freshmen,freshman,1
fresnels,fresnel,3
fretsaws,fretsaw,3
fretters,fretter,3
fretwork,fretwork,3
friaries,friary,2
fribbler,fribbler,3
fricando,fricando,3
friction,friction,1
friendly,friendly,1
frigates,frigate,2
frijoles,frijol|frijole,3
frillers,friller,3
frillery,frillery,3
frillies,frillies,3
frilling,frill|frilling,2
fringing,fringe|fringing,1
frippery,frippery,3
frisbees,frisbee,2
frisette,frisette,3
friseurs,friseur,3
friskers,frisker,3
friskets,frisket,3
frissons,frisson,2
frittata,frittata,2
fritters,fritter,2
friulano,friulano,3
frivoler,frivoler,3
frizette,frizette,3
frizzers,frizzer,3
frizzies,frizzies,3
frizzler,frizzler,3
frogeyes,frogeye,3
frogfish,frogfish,3
frogging,frog|frogging,1
froglets,froglet,3
froideur,froideur,3
fromages,fromage,3
fromenty,fromenty,3
frondeur,frondeur,3
frontage,frontage,2
frontals,frontal,2
frontier,frontier,1
frontlet,frontlet,3
frontman,frontman,2
frontmen,frontman,2
frontons,fronton,3
frosteds,frosted,2
frosting,frost|frosting,2
frostnip,frostnip,3
frothers,frother,3
frothing,froth|frothing,2
frottage,frottage,3
frotteur,frotteur,3
froufrou,froufrou,3
frowners,frowner,3
fructose,fructose,2
fruitage,fruitage,3
fruiters,fruiter,3
fruiting,fruit|fruiting,1
fruition,fruition,2
fruitlet,fruitlet,3
frumenty,frumenty,3
frustule,frustule,3
frustums,frustum,3
frybread,frybread,3
fuchsias,fuchsia,2
fuchsine,fuchsine,3
fuchsins,fuchsin,3
fuckface,fuckface,3
fuckhead,fuckhead,2
fuckoffs,fuckoff,3
fuckwits,fuckwit,3
fuehrers,fuehrer,3
fuellers,fueller,3
fuelwood,fuelwood,2
fugacity,fugacity,3
fugitive,fugitive,1
fugleman,fugleman,3
fuglemen,fugleman,3
fuguists,fuguist,3
fulcrums,fulcrum,2
fullback,fullback,2
fullface,fullface,3
fullness,fullness,2
fumarase,fumarase,3
fumarate,fumarate,3
fumarole,fumarole,2
fumatory,fumatory,3
fumblers,fumbler,3
fumbling,fumble,1
fumettes,fumette,3
fumigant,fumigant,3
fumitory,fumitory,3
function,function,1
functors,functor,3
fundings,funding,1
funerals,funeral,1
funfairs,funfair,3
funfests,funfest,3
fungible,fungible,2
fungoids,fungoid,3
funguses,fungus,1
funhouse,funhouse,2
funicles,funicle,3
funiculi,funiculi,3
funkster,funkster,3
funnyman,funnyman,2
funnymen,funnyman,2
funsters,funster,3
furanose,furanose,3
furballs,furball,3
furcraea,furcraea,3
furculae,furcula,3
furculum,furculum,3
furfural,furfural,3
furfuran,furfuran,3
furfures,furfur,3
furlongs,furlong,2
furlough,furlough,2
furmenty,furmenty,3
furnaces,furnace,2
furpiece,furpiece,3
furriers,furrier,3
furriery,furriery,3
furriner,furriner,3
furrings,furring,3
furrower,furrower,3
furuncle,furuncle,3
fusarium,fusarium,3
fuselage,fuselage,2
fusileer,fusileer,3
fusilier,fusilier,3
fusillis,fusilli,2
fusspots,fusspot,3
fustians,fustian,3
futharcs,futharc,3
futharks,futhark,3
futhorcs,futhorc,3
futhorks,futhork,3
futility,futility,2
futtocks,futtock,3
futurism,futurism,2
futurist,futurist,2
futurity,futurity,2
fuzzball,fuzzball,3
fuzztone,fuzztone,3
fabricant,fabricant,3
fabriques,fabrique,3
fabulator,fabulator,3
fabulisms,fabulism,3
fabulists,fabulist,3
facecloth,facecloth,3
facedowns,facedown,2
facemasks,facemask,2
faceplate,faceplate,2
facetings,faceting,3
facsimile,facsimile,2
facticity,facticity,3
factorage,factorage,3
factorial,factorial,2
factories,factory,1
factoring,factor,1
factotums,factotum,3
faculties,faculty,1
fadeaways,fadeaway,3
fadedness,fadedness,3
fagotings,fagoting,3
fahlbands,fahlband,3
faineance,faineance,3
faineants,faineant,3
faintness,faintness,2
fairgoers,fairgoer,3
fairleads,fairlead,3
fairyhood,fairyhood,3
fairyisms,fairyism,3
fairyland,fairyland,2
faithfuls,faithful,1
falchions,falchion,3
falconers,falconer,2
falconets,falconet,3
falderals,falderal,3
falderols,falderol,3
faldstool,faldstool,3
fallacies,fallacy,2
fallalery,fallalery,3
fallaways,fallaway,3
fallbacks,fallback,2
fallboard,fallboard,3
falseface,falseface,3
falsehood,falsehood,2
falseness,falseness,2
falsettos,falsetto,2
falsework,falsework,3
falsifier,falsifier,3
falsities,falsity,2
faltboats,faltboat,3
falterers,falterer,3
familiars,familiar,1
familisms,familism,3
fanciness,fanciness,3
fancywork,fancywork,3
fandangle,fandangle,3
fandangos,fandango,2
fanegadas,fanegada,3
fanfarons,fanfaron,3
fanlights,fanlight,3
fantasias,fantasia,2
fantasies,fantasie|fantasy,1
fantasist,fantasist,2
fantastic,fantastic,1
faradisms,faradism,3
faradizer,faradizer,3
farandole,farandole,3
fareboxes,farebox,3
farewells,farewell,1
farfalles,farfalle,3
farmhands,farmhand,2
farmhouse,farmhouse,2
farmlands,farmland,2
farmstead,farmstead,2
farmwives,farmwife,3
farmworks,farmwork,3
farmyards,farmyard,2
farnesols,farnesol,3
farnesses,farness,3
farolitos,farolito,3
farragoes,farrago,3
farrowing,farrow|farrowing,3
farthings,farthing,2
fascicles,fascicle,3
fascicule,fascicule,3
fasciculi,fasciculus,3
fasciitis,fasciitis,2
fashioner,fashioner,3
fastbacks,fastback,3
fastballs,fastball,2
fasteners,fastener,2
fastening,fasten,1
fastigium,fastigium,3
fatalisms,fatalism,2
fatalists,fatalist,2
fatalness,fatalness,3
fathering,father|fathering,1
fathomers,fathomer,3
fatnesses,fatness,2
fatstocks,fatstock,3
fatteners,fattener,3
fattiness,fattiness,3
fatuities,fatuity,3
faubourgs,faubourg,3
fauteuils,fauteuil,3
favorites,favorite,1
favourers,favourer,3
favourite,favourite,2
fayalites,fayalite,3
feasances,feasance,3
febricity,febricity,3
febrifuge,febrifuge,3
febrility,febrility,3
feculence,feculence,3
fecundity,fecundity,2
federator,federator,3
feedbacks,feedback,1
feedboxes,feedbox,3
feedgrain,feedgrain,3
feedholes,feedhole,3
feedstock,feedstock,2
feedstuff,feedstuff,3
feedyards,feedyard,3
feldscher,feldscher,3
feldshers,feldsher,3
feldspars,feldspar,2
fellaheen,fellah,3
fellation,fellation,3
fellatios,fellatio,2
fellators,fellator,3
fellatrix,fellatrix,3
fellfield,fellfield,3
fellowman,fellowman,3
fellowmen,fellowman,3
felonries,felonry,3
felquiste,felquiste,3
felstones,felstone,3
feminazis,feminazi,2
feminines,feminine,1
feminisms,feminism,1
feminists,feminist,1
fenceline,fenceline,3
fencerows,fencerow,3
fencewire,fencewire,3
fencibles,fencible,3
fenestrae,fenestra,3
fentanyls,fentanyl,2
fenthions,fenthion,3
fenugreek,fenugreek,3
feodaries,feodary,3
feoffment,feoffment,3
fermenter,fermenter,2
fermentor,fermentor,3
ferneries,fernery,3
ferreters,ferreter,3
ferriages,ferriage,3
ferritins,ferritin,2
ferrocene,ferrocene,3
ferryboat,ferryboat,2
fertility,fertility,1
fervidity,fervidity,3
festivals,festival,1
festivity,festive,2
fetations,fetation,3
feteritas,feterita,3
fetichism,fetichism,3
feticides,feticide,3
fetidness,fetidness,3
fetishism,fetishism,2
fetishist,fetishist,2
fetoscope,fetoscope,3
fetoscopy,fetoscopy,3
fetterers,fetterer,3
fettlings,fettling,3
fettucine,fettucine,3
fettucini,fettucini,3
feudalism,feudalism,2
feudalist,feudalist,3
feudality,feudality,3
feudaries,feudary,3
feudatory,feudatory,3
feuillete,feuillete,3
feverfews,feverfew,3
feverroot,feverroot,3
feverweed,feverweed,3
feverwort,feverwort,3
fewnesses,fewness,3
feynesses,feyness,3
fiberfill,fiberfill,3
fibrannes,fibranne,3
fibrefill,fibrefill,3
fibrillae,fibrilla,3
fibrinoid,fibrinoid,3
fibromata,fibroma,3
fiddlings,fiddling,2
fidelismo,fidelismo,3
fidelista,fidelista,3
fidgeters,fidgeter,3
fidgeting,fidget,2
fiduciary,fiduciary,2
fieldfare,fieldfare,3
fieldsman,fieldsman,3
fieldsmen,fieldsman,3
fieldwork,fieldwork,2
fieriness,fieriness,3
fifteenth,fifteenth,2
fiftieths,fiftieth,2
figeaters,figeater,3
fightback,fightback,3
fightings,fighting,1
figulines,figuline,3
figurants,figurant,3
figurines,figurine,2
filaments,filament,2
filariids,filariid,3
filatures,filature,3
filenames,filename,2
filiation,filiation,3
filicides,filicide,3
filigrees,filigree,2
filisters,filister,3
filleters,filleter,3
fillister,fillister,3
filmcards,filmcard,3
filmfests,filmfest,3
filmgoers,filmgoer,2
filmgoing,filmgoing,3
filminess,filminess,3
filmlands,filmland,3
filmmaker,filmmaker,1
filmstrip,filmstrip,2
filoplume,filoplume,3
filopodia,filopodium,3
filovirus,filovirus,3
filterers,filterer,3
filtering,filter,1
finaglers,finagler,3
finalisms,finalism,3
finalists,finalist,1
finalizer,finalizer,3
financial,financial,1
financier,financier,2
financing,finance,1
