word,lemmas,pos,points
bosses,boss,n|v,1
boston,boston,n,3
bosuns,bosun,n,2
botany,botany,n,2
botels,botel,n,3
botfly,botfly,n,3
bother,bother,n|v,1
bothie,bothie,n,3
botnet,botnet,n,2
bottle,bottle,n|v,1
bottom,bottom,j|n|v,1
boubou,boubou,n,3
boucle,boucle,n,3
boudin,boudin,n,3
bouffe,bouffe,n,3
boughs,bough,n,2
bougie,bougie,j|n,2
boules,boule,n,3
boulle,boulle,n,3
bounce,bounce,n|v,1
bounds,bound,n|v,1
bounty,bounty,n,1
bourgs,bourg,n,3
bourne,bourne,n,3
bourns,bourn,n,3
bourse,bourse,n,3
bouton,bouton,n,3
bovids,bovid,n,3
bovine,bovine,j|n,2
bovver,bovver,n,3
bowels,bowel,n|v,1
bowers,bower,n|v,2
bowery,bowery,n,2
bowfin,bowfin,n,3
bowing,bow|bowing,n|v,1
bowleg,bowleg,n,3
bowler,bowler,n,2
bowman,bowman,n,2
bowmen,bowman,n,2
bowpot,bowpot,n,3
bowsaw,bowsaw,n,3
bowser,bowser,n,3
bowyer,bowyer,n,3
boxcar,boxcar,n,2
boxers,boxer,n,1
boxful,boxful,n,3
boxing,box|boxing,n|v,1
boxlas,boxla,n,3
boyard,boyard,n,3
boyars,boyar,n,2
boylas,boyla,n,3
bracer,bracer,n,3
braces,brace,n|v,1
brachs,brach,n,3
bracts,bract,n,2
brahma,brahma,n,3
braids,braid,n|v,2
brains,brain,n|v,1
braize,braize,n,3
brakes,brake,n|v,1
branch,branch,n|v,1
brands,brand,n|v,1
brandy,brandy,n|v,1
branks,brank,n,3
brants,brant,n,3
brasil,brasil,n,3
bravas,brava,n,2
braver,brave|braver,j|n,1
bravos,bravo,n,2
brawls,brawl,n|v,2
brawns,brawn,n,2
brayer,brayer,n,3
brazas,braza,n,3
brazer,brazer,n,3
brazil,brazil,n,2
breach,breach,n|v,1
breads,bread,n|v,1
breaks,break,n|v,1
breast,breast,n|v,1
breath,breath,n|v,1
bredes,brede,n,3
breech,breech,n|v,2
breeds,breed,n|v,1
breeks,breeks,n,3
breeze,breeze,n|v,1
bregma,bregma,n,3
brents,brent,n,3
breves,breve,n,3
brevet,brevet,n|v,3
brewer,brewer,n,2
brewis,brewis,n,3
briard,briard,n,3
briars,briar,n,2
bribee,bribee,n,3
briber,briber,n,3
bribes,bribe,n|v,2
bricks,brick,n|v,1
bridal,bridal,j|n,2
brides,bride,n,1
bridge,bridge,n|v,1
bridie,bridie,n,3
bridle,bridle,n|v,2
briefs,brief,n|v,1
briers,brier,n,2
bright,bright,j|n,1
brillo,brillo,n,3
brills,brill,n,3
briner,briner,n,3
brines,brine,n|v,2
brinks,brink,n,1
briony,briony,n,3
brises,bris,n,2
briths,brith,n,3
britts,britt,n,3
broach,broach,n|v,2
broads,broad,n,1
brochs,broch,n,3
brocks,brock,n,3
brogan,brogan,n,3
brogue,brogue,n,2
broils,broil,n|v,2
broker,broker,n|v,1
brolga,brolga,n,3
brolly,brolly,n,3
bromal,bromal,n,3
bromes,brome,n,3
bromid,bromid,n,3
bromin,bromin,n,3
bromos,bromo,n,3
bronco,bronco,n,3
broncs,bronc,n,2
bronze,bronze,n|v,1
brooch,brooch,n,2
broods,brood,n|v,2
brooks,brook,n|v,2
brooms,broom,n|v,2
broses,brose,n,3
broths,broth,n,1
browns,brown,n|v,1
browse,browse,n|v,1
brucin,brucin,n,3
brughs,brugh,n,3
bruins,bruin,n,2
bruise,bruise,n|v,1
brulot,brulot,n,3
brumby,brumby,n,3
brumes,brume,n,3
brunch,brunch,n|v,2
brunet,brunet,n,3
brunts,brunt,n,2
brutes,brute,n|v,2
bryony,bryony,n,3
bubale,bubale,n,3
bubals,bubal,n,3
bubbes,bubbe,n,3
bubbie,bubbie,n,3
bubble,bubble,n|v,1
bubbly,bubbly,j|n,2
bubkes,bubkes,n,3
buboes,bubo,n,3
bucker,bucker,n,3
bucket,bucket,n|v,1
buckle,buckle,n|v,1
buckos,bucko,n,2
budder,budder,n,3
buddha,buddha,n,2
buddle,buddle,n,3
budger,budger,n,3
budget,budget,n|v,1
budgie,budgie,n,2
buffer,buff|buffer,j|n|v,1
buffet,buffet,n|v,1
buffos,buffo,n,3
bugeye,bugeye,n,3
bugger,bugger,n|v,2
bugler,bugler,n,2
bugles,bugle,n|v,2
bugout,bugout,n,3
bugsha,bugsha,n,3
bulbel,bulbel,n,3
bulbil,bulbil,n,3
bulbul,bulbul,n,3
bulgar,bulgar,n,3
bulger,bulger,n,3
bulges,bulge,n|v,2
bulgur,bulgur,n,2
bulker,bulker,n,3
bullae,bulla,n,3
bullet,bullet,n|v,1
bulley,bulley,n,3
bumbag,bumbag,n,3
bumkin,bumkin,n,3
bummer,bum|bummer,j|n,1
bumper,bumper,j|n|v,2
bumphs,bumph,n,3
bumwad,bumwad,n,3
bundle,bundle,n|v,1
bundts,bundt,n,2
bungee,bungee,n,2
bungle,bungle,n|v,2
bunion,bunion,n,2
bunker,bunker,n|v,1
bunkie,bunkie,n,3
bunkum,bunkum,n,3
bunter,bunter,n,3
bunyas,bunya,n,3
bunyip,bunyip,n,3
bupkes,bupkes,n,3
bupkis,bupkis,n,3
bupkus,bupkus,n,3
buppie,buppie,n,3
buqsha,buqsha,n,3
burans,buran,n,3
burble,burble,n|v,2
burbot,burbot,n,3
burden,burden,n|v,1
burdie,burdie,n,3
bureau,bureau,n,1
burets,buret,n,3
burfis,burfi,n,3
burgee,burgee,n,3
burger,burger,n,1
burghs,burgh,n,3
burgoo,burgoo,n,3
burial,burial,n,1
burier,burier,n,3
burins,burin,n,3
burkas,burka,n,2
burker,burker,n,3
burkha,burkha,n,3
burlap,burlap,n,2
burler,burler,n,3
burley,burley,n,3
burner,burner,n,1
burnet,burnet,n,3
burnie,burnie,n,3
burpee,burpee,n,3
burqas,burqa,n,2
burrer,burrer,n,3
burros,burro,n,2
burrow,burrow,n|v,2
bursae,bursa,n,3
bursar,bursar,n,2
bursas,bursa,n,3
burses,burse,n,3
bursts,burst,n|v,1
burton,burton,n,3
busbar,busbar,n,3
busboy,busboy,n,2
bushel,bushel,n|v,2
busher,busher,n,3
bushes,bush,n|v,1
bushwa,bushwa,n,3
busing,bus|busing,j|n|v,1
busker,busker,n,2
buskin,buskin,n,3
busman,busman,n,3
busmen,busman,n,3
busses,bus|buss,n|v,1
bustee,bustee,n,3
buster,buster,j|n,2
bustic,bustic,n,3
bustle,bustle,n|v,2
butane,butane,n,2
butene,butene,n,3
buteos,buteo,n,3
butler,butler,n,2
butohs,butoh,n,3
butter,butter,n|v,1
buttes,butte,n,2
button,button,n|v,1
bututs,butut,n,3
butyls,butyl,n,3
buyers,buyer,n,1
buying,buy,n|v,1
buyoff,buyoff,n,3
buyout,buyout,n,2
buzuki,buzuki,n,3
buzzer,buzzer,n,2
bwanas,bwana,n,3
byelaw,byelaw,n,3
bygone,bygone,j|n,2
bylaws,bylaw,n,2
byline,byline,n|v,2
byname,byname,n,3
bypass,bypass,n|v,1
bypath,bypath,n,3
byplay,byplay,n,3
byrnie,byrnie,n,3
byroad,byroad,n,3
byssus,byssus,n,3
bytalk,bytalk,n,3
byways,byway,n,2
byword,byword,n,2
bywork,bywork,n,3
byzant,byzant,n,3
baalism,baalism,n,3
baaskap,baaskap,n,3
babacus,babacu,n,3
babassu,babassu,n,3
babbler,babbler,n,3
babesia,babesia,n,3
babiche,babiche,n,3
babools,babool,n,3
baboons,baboon,n,2
bacalao,bacalao,n,3
baccala,baccala,n,3
baccara,baccara,n,3
bacchii,bacchius,n,3
baccies,baccy,n,3
bacilli,bacillus,n,2
backbar,backbar,n,3
backers,backer,n,1
backfat,backfat,n,3
backhoe,backhoe,n|v,2
backing,back|backing,j|n|v,1
backlog,backlog,n|v,2
backlot,backlot,n,3
backout,backout,n,3
backsaw,backsaw,n,3
backset,backset,n,3
backups,backup,n|v,1
baculum,baculum,n,3
baddies,baddie|baddy,n,2
badgers,badger,n|v,2
badland,badland,n,3
badness,badness,n,2
baffies,baffy,n,3
baffler,baffler,n,3
baffles,baffle,n|v,2
bagasse,bagasse,n,3
bagfuls,bagful,n,2
baggage,baggage,n,1
baggers,bagger,n,2
baggies,baggie,n,2
bagging,bag|bagging,j|n|v,1
bagnios,bagnio,n,3
bagpipe,bagpipe,n|v,2
bagsful,bagful,n,2
baguets,baguet,n,3
bagwigs,bagwig,n,3
bagworm,bagworm,n,3
bahadur,bahadur,n,3
baidars,baidar,n,3
bailees,bailee,n,3
bailers,bailer,n,3
baileys,bailey,n,3
bailies,bailie,n,3
bailiff,bailiff,n,2
bailors,bailor,n,3
bailout,bailout,n,1
baiters,baiter,n,2
baiting,bait,n|v,1
bakings,baking,n,1
baklava,baklava,n,2
baklawa,baklawa,n,3
balafon,balafon,n,3
balance,balance,n|v,1
balases,balas,n,3
balatas,balata,n,3
balboas,balboa,n,3
balcony,balcony,n,1
baldies,baldie|baldy,n,2
baldric,baldric,n,3
baleens,baleen,n,2
balings,baling,n,3
balkers,balker,n,3
ballade,ballade,n,3
ballads,ballad,n,2
ballast,ballast,n|v,2
ballboy,ballboy,n,3
ballers,baller,n,2
ballets,ballet,n,1
ballies,bally,n,3
ballons,ballon,n,3
balloon,balloon,n|v,1
ballots,ballot,n|v,1
ballute,ballute,n,3
baloney,baloney,n,2
balsams,balsam,n|v,2
bambini,bambino,n,3
bambino,bambino,n,3
bamboos,bamboo,n,1
bananas,banana,n,1
bandage,bandage,n|v,2
bandana,bandana,n,2
bandbox,bandbox,n,3
bandeau,bandeau,n,3
banders,bander,n,3
banding,band|banding,n|v,1
bandito,bandito,n,3
bandits,bandit,n,2
bandogs,bandog,n,3
bandora,bandora,n,3
bandore,bandore,n,3
bandura,bandura,n,3
bangers,banger,n,2
banging,bang,j|n|v,1
bangkok,bangkok,n,3
bangles,bangle,n,2
banians,banian,n,3
banjoes,banjo,n,2
bankers,banker,n,1
banking,bank|banking,n|v,1
bankits,bankit,n,3
banksia,banksia,n,3
banners,banner,n|v,1
bannets,bannet,n,3
banning,ban,n|v,1
bannock,bannock,n,3
banquet,banquet,n|v,2
banshee,banshee,n,2
banshie,banshie,n,3
bantams,bantam,n,2
banteng,banteng,n,3
banties,banty,n,3
banyans,banyan,n,2
banzais,banzai,n,2
baobabs,baobab,n,2
baptism,baptism,n,1
baptist,baptist,j|n,1
barbell,barbell,n,2
barbels,barbel,n,3
barbers,barber,n|v,2
barbets,barbet,n,3
barbies,barbie,n,2
barbots,barbot,n,3
barbule,barbule,n,3
barbuts,barbut,n,3
barchan,barchan,n,3
barcode,barcode,n,3
bareges,barege,n,3
bargain,bargain,n|v,1
bargees,bargee,n,3
bargoon,bargoon,n,3
barilla,barilla,n,3
barista,barista,n,2
barites,barite,n,3
bariums,barium,n,2
barkeep,barkeep,n,2
barkers,barker,n,2
barking,bark,j|n|v,1
barleys,barley,n,2
barlows,barlow,n,3
barmaid,barmaid,n,2
barneys,barney,n,3
baronet,baronet,n,2
barongs,barong,n,3
baronne,baronne,n,3
baroque,baroque,n,2
barques,barque,n,3
barrack,barrack,n|v,3
barrage,barrage,n|v,2
barrels,barrel,n|v,1
barrens,barren,n,2
barrets,barret,n,3
barrier,barrier,n,1
barrios,barrio,n,3
barroom,barroom,n,2
barrows,barrow,n,2
barters,barter,n|v,2
barware,barware,n,3
baryons,baryon,n,2
barytas,baryta,n,3
barytes,baryte,n,3
baryton,baryton,n,3
basalts,basalt,n,2
bascule,bascule,n,3
baseman,baseman,n,1
basemen,baseman,n,1
basenji,basenji,n,3
bashaws,bashaw,n,3
bashers,basher,n,2
bashing,bash|bashing,j|n|v,1
bashlyk,bashlyk,n,3
basidia,basidium,n,3
basinet,basinet,n,3
basions,basion,n,3
baskets,basket,n,1
basmati,basmati,n,2
basques,basque,n,2
bassets,basset,n|v,2
bassett,bassett,n,3
bassist,bassist,n,2
bassoon,bassoon,n,2
bastard,bastard,n,1
basters,baster,n,2
bastile,bastile,n,3
basting,baste|basting,n|v,2
bastion,bastion,n,2
batards,batard,n,3
batatas,batata,n,3
batboys,batboy,n,3
batcher,batcher,n,3
batches,batch,n|v,1
bateaux,bateau,n,3
batfish,batfish,n,3
batgirl,batgirl,n,3
bathers,bather,n,2
bathing,bathe|bathing,j|n|v,1
bathmat,bathmat,n,3
bathtub,bathtub,n,1
batiste,batiste,n,3
batshit,batshit,j|n,2
batsman,batsman,n,2
batsmen,batsman,n,2
batteau,batteau,n,3
battens,batten,n|v,2
battery,battery,n,1
battiks,battik,n,3
batting,bat|batting,n|v,1
battler,battler,n,2
battles,battle,n|v,1
battues,battue,n,3
baubees,baubee,n,3
baubles,bauble,n,2
baulker,baulker,n,3
bauxite,bauxite,n,2
bawbees,bawbee,n,3
bawcock,bawcock,n,3
bawdies,bawdy,n,2
bawdric,bawdric,n,3
bawlers,bawler,n,3
bawling,bawl,n|v,2
bawties,bawtie|bawty,n,3
bayamos,bayamo,n,3
bayards,bayard,n,3
bayonet,bayonet,n|v,2
bayside,bayside,n,3
baywood,baywood,n,3
baywops,baywop,n,3
bazaars,bazaar,n,2
bazooka,bazooka,n,2
bazooms,bazoom,n,3
beaches,beach,n|v,1
beacons,beacon,n|v,2
beaders,beader,n,3
beading,bead|beading,n|v,1
beadles,beadle,n,3
beadman,beadman,n,3
beadmen,beadman,n,3
beagler,beagler,n,3
beagles,beagle,n|v,2
beakers,beaker,n,2
bealing,bealing,n,3
beanbag,beanbag,n,2
beanery,beanery,n,3
beanies,beanie,n,2
bearcat,bearcat,n,2
bearers,bearer,n,2
bearhug,bearhug,n,3
bearing,bear|bearing,n|v,1
bearpaw,bearpaw,n,3
beastie,beastie,n,2
beaters,beater,n,2
beating,beat|beating,j|n|v,1
beatnik,beatnik,n,2
beavers,beaver,n|v,2
bebeeru,bebeeru,n,3
beckets,becket,n,3
bedbugs,bedbug,n,2
bedders,bedder,n,3
bedding,bed|bedding,n|v,1
bedells,bedell,n,3
bedeman,bedeman,n,3
bedemen,bedeman,n,3
bedgown,bedgown,n,3
bedhead,bedhead,n,3
bedlamp,bedlamp,n,3
bedlams,bedlam,n,2
bedmate,bedmate,n,3
bedouin,bedouin,n,2
bedpans,bedpan,n,2
bedpost,bedpost,n,2
bedrail,bedrail,n,3
bedrest,bedrest,n,3
bedrock,bedrock,n,2
bedroll,bedroll,n,2
bedroom,bedroom,n,1
bedside,bedside,n,2
bedsits,bedsit,n,3
bedsock,bedsock,n,3
bedsore,bedsore,n,2
bedtick,bedtick,n,3
bedtime,bedtime,n,1
beduins,beduin,n,3
beebees,beebee,n,3
beeches,beech,n,2
beedies,beedi,n,3
beefalo,beefalo,n,3
beehive,beehive,n,2
beeline,beeline,n|v,2
beepers,beeper,n,2
beeping,beep,j|n|v,2
beernut,beernut,n,3
beeswax,beeswax,n|v,2
beetler,beetler,n,3
beetles,beetle,n|v,1
beeyard,beeyard,n,3
beezers,beezer,n,3
beggars,beggar,n|v,2
beggary,beggary,n,3
begging,beg,n|v,1
begonia,begonia,n,2
beguine,beguine,n,3
behaver,behaver,n,3
behests,behest,n,2
behinds,behind,n,1
behoofs,behoof,n,3
beignes,beigne,n,3
beignet,beignet,n,2
bejasus,bejasus,n,3
bejesus,bejesus,n,2
belayer,belayer,n,3
belcher,belcher,n,3
belches,belch,n|v,2
beldame,beldame,n,3
beldams,beldam,n,3
beliefs,belief,n,1
beliers,belier,n,3
bellboy,bellboy,n,2
belleek,belleek,n,3
bellhop,bellhop,n,2
bellies,belly,n|v,1
belling,bell|belling,n|v,1
bellman,bellman,n,2
bellmen,bellman,n,2
bellows,bellow,n|v,2
beloved,beloved,j|n,1
belters,belter,n,3
belting,belt|belting,n|v,1
beltway,beltway,n,2
belugas,beluga,n,2
bencher,bencher,n,3
benches,bench,n|v,1
bendees,bendee,n,3
benders,bender,n,2
bending,bend,n|v,1
benefit,benefit,n|v,1
benison,benison,n,3
bennets,bennet,n,3
bennies,benny,n,3
benomyl,benomyl,n,3
benthon,benthon,n,3
benthos,benthos,n,3
benzene,benzene,n,2
benzine,benzine,n,3
benzins,benzin,n,3
benzoin,benzoin,n,3
benzole,benzole,n,3
benzols,benzol,n,3
benzoyl,benzoyl,n,2
benzyls,benzyl,n,3
bequest,bequest,n,2
berbers,berber,n,2
berdash,berdash,n,3
beretta,beretta,n,3
bergere,bergere,n,3
berline,berline,n,3
berlins,berlin,n,2
berries,berry,n|v,1
berseem,berseem,n,3
berserk,berserk,j|n,2
berthas,bertha,n,3
besties,bestie,n,3
betaine,betaine,n,3
bethels,bethel,n,3
betises,betise,n,3
betting,bet|betting,j|n|v,1
bettors,bettor,n,2
beveler,beveler,n,3
bevvies,bevvy,n,3
beylics,beylic,n,3
beyliks,beylik,n,3
beyonds,beyond,n,1
bezants,bezant,n,3
bezique,bezique,n,3
bezoars,bezoar,n,3
bezzant,bezzant,n,3
bhaktas,bhakta,n,3
bhaktis,bhakti,n,3
bhangra,bhangra,n,3
bharals,bharal,n,3
bheesty,bheesty,n,3
bhistie,bhistie,n,3
bialies,bialy,n,3
bibbers,bibber,n,3
bibbery,bibbery,n,3
bibbing,bib|bibbing,n|v,2
bibcock,bibcock,n,3
bibelot,bibelot,n,3
biblist,biblist,n,3
bicarbs,bicarb,n,3
bicolor,bicolor,n,3
bicorne,bicorne,n,3
bicorns,bicorn,n,3
bicrons,bicron,n,3
bicycle,bicycle,n|v,1
bidarka,bidarka,n,3
bidders,bidder,n,2
biddies,biddy,n,2
bidding,bid|bidding,n|v,1
biennia,biennium,n,2
bifaces,biface,n,3
biffies,biffy,n,3
biffins,biffin,n,3
bifidum,bifidum,n,3
bifocal,bifocal,j|n,3
bifolds,bifold,n,3
bigeyes,bigeye,n,3
bigfeet,bigfoot,n,2
bigfoot,bigfoot,n|v,2
biggies,biggie|biggy,n,2
bigging,bigging,n,3
biggins,biggin,n,3
bighead,bighead,n,3
bighorn,bighorn,n,2
bigness,bigness,n,2
bigoses,bigos,n,3
bigotry,bigotry,n,2
biguine,biguine,n,3
bigwigs,bigwig,n,2
bikeway,bikeway,n,3
bikinis,bikini,n,1
bilayer,bilayer,n,2
bilbies,bilby,n,3
bilboas,bilboa,n,3
bilboes,bilbo,n,3
bilevel,bilevel,n,3
bilkers,bilker,n,3
billbug,billbug,n,3
billers,biller,n,3
billets,billet,n|v,2
billies,billie|billy,n,2
billing,bill|billing,n|v,1
billion,billion,m|n,1
billons,billon,n,3
billows,billow,n|v,2
bilsted,bilsted,n,3
biltong,biltong,n,3
bimboes,bimbo,n,2
bimetal,bimetal,n,3
biminis,bimini,n,3
bimorph,bimorph,n,3
binders,binder,n,2
bindery,bindery,n,3
binding,bind|binding,j|n|v,1
bindles,bindle,n,3
bingers,binger,n,3
binging,binge|binging,n|v,2
bingoes,bingo,n,1
binocle,binocle,n,3
biochip,biochip,n,3
biocide,biocide,n,3
biofilm,biofilm,n,2
biofuel,biofuel,n,2
biogens,biogen,n,3
biogeny,biogeny,n,3
bioherm,bioherm,n,3
biology,biology,n,1
biomass,biomass,n,2
bionics,bionics,n,3
bionomy,bionomy,n,3
biopics,biopic,n,2
biotech,biotech,j|n,2
biotics,biotics,n,3
biotins,biotin,n,2
biotite,biotite,n,3
biotope,biotope,n,3
biotron,biotron,n,3
biotype,biotype,n,3
bipacks,bipack,n,3
biplane,biplane,n,2
birches,birch,n|v,2
birders,birder,n,2
birdies,birdie,n|v,2
birding,bird|birding,j|n|v,1
birdman,birdman,n,3
birdmen,birdman,n,3
biremes,bireme,n,3
biretta,biretta,n,3
biriani,biriani,n,3
birkies,birkie,n,3
birlers,birler,n,3
birling,birl|birle|birling,n|v,3
biryani,biryani,n,3
biscuit,biscuit,n,1
bishops,bishop,n|v,1
bismuth,bismuth,n,2
bisnaga,bisnaga,n,3
bisques,bisque,n,2
bisters,bister,n,3
bistort,bistort,n,3
bistres,bistre,n,3
bistros,bistro,n,2
bitches,bitch,n|v,1
bitcoin,bitcoin,n,3
bitmaps,bitmap,n|v,2
bitrate,bitrate,n,3
bittern,bittern,n,3
bitters,bitter,n|v,1
bitting,bit|bitt|bitting,n|v,1
bittock,bittock,n,3
bitumen,bitumen,n,2
biturbo,biturbo,n,3
bivalve,bivalve,n,2
bivinyl,bivinyl,n,3
bivouac,bivouac,n|v,2
bizarre,bizarre,j|n,1
bizarro,bizarro,n,3
bizjets,bizjet,n,3
biznaga,biznaga,n,3
bizones,bizone,n,3
bladder,bladder,n,1
bladers,blader,n,3
blading,blade|blading,n|v,1
blagger,blagger,n,3
blagues,blague,n,3
blamers,blamer,n,3
blaming,blame,n|v,1
blanket,blanket,n|v,1
blankie,blankie,n,2
blaring,blare,j|n|v,2
blarney,blarney,n|v,3
blaster,blaster,n,2
blastie,blastie,n,3
blather,blather,n|v,2
blaubok,blaubok,n,3
blazers,blazer,n,1
blazons,blazon,n|v,3
bleater,bleater,n,3
bleeder,bleeder,n,2
bleeper,bleeper,n,3
blellum,blellum,n,3
blemish,blemish,n|v,2
blender,blender,n,1
blendes,blende,n,3
blesbok,blesbok,n,3
blesser,blesser,n,3
blewits,blewit|blewits,n,3
blights,blight,n|v,2
blighty,blighty,n,3
blinder,blind|blinder,j|n,1
blinker,blinker,n|v,2
blintze,blintze,n,3
blisses,bliss,n|v,1
blister,blister,n|v,2
blitzer,blitzer,n,3
blitzes,blitz,n|v,2
bloater,bloater,n,3
blocker,blocker,n,2
blogger,blogger,n,1
blondes,blonde,n,1
bloomer,bloomer,n,2
blooper,blooper,n,2
blossom,blossom,n|v,1
blotter,blotter,n,2
blouses,blouse,n|v,1
blouson,blouson,n,3
blowbys,blowby,n,3
blowers,blower,n,2
blowfly,blowfly,n,3
blowgun,blowgun,n,3
blowing,blow,n|v,1
blowjob,blowjob,n,2
blowoff,blowoff,n,3
blowout,blowout,n,2
blowups,blowup,n,3
blubber,blubber,n|v,2
blucher,blucher,n,3
bludger,bludger,n,3
bluecap,bluecap,n,3
bluefin,bluefin,n,2
bluegum,bluegum,n,3
blueing,blue|blueing,n|v,1
bluejay,bluejay,n,2
bluffer,bluff|bluffer,j|n,1
bluings,bluing,n,3
blunder,blunder,n|v,2
blunger,blunger,n,3
blurbed,blurb,n|v,2
blurter,blurter,n,3
blusher,blusher,n,3
blushes,blush,n|v,1
bluster,bluster,n|v,2
boarder,boarder,n,2
boaster,boaster,n,3
boatels,boatel,n,3
boaters,boater,n,2
boatful,boatful,n,3
boating,boat|boating,n|v,1
boatman,boatman,n,2
boatmen,boatman,n,2
bobbers,bobber,n,2
bobbery,bobbery,n,3
bobbies,bobby,n,2
bobbing,bob,j|n|v,1
bobbins,bobbin,n,2
bobbles,bobble,n|v,2
bobcats,bobcat,n,2
bobeche,bobeche,n,3
bobstay,bobstay,n,3
bobtail,bobtail,n|v,3
boccias,boccia,n,3
boccies,boccie,n,3
bodegas,bodega,n,2
bodhran,bodhran,n,3
bodices,bodice,n,2
bodings,boding,n,3
bodkins,bodkin,n,3
bodyman,bodyman,n,3
bodymen,bodyman,n,3
boffins,boffin,n,3
boffola,boffola,n,3
bogbean,bogbean,n,3
boggler,boggler,n,3
boghole,boghole,n,3
bogland,bogland,n,3
bogwood,bogwood,n,3
bogyism,bogyism,n,3
bogyman,bogyman,n,3
bogymen,bogyman,n,3
bohemia,bohemia,n,3
bohrium,bohrium,n,3
boilers,boiler,n,2
boiloff,boiloff,n,3
bokkens,bokken,n,3
bolases,bolas,n,3
boleros,bolero,n,2
boletes,bolete,n,3
boletus,boletus,n,3
bolides,bolide,n,3
bolivar,bolivar,n,3
bolivia,bolivia,n,3
bollard,bollard,n,2
bologna,bologna,n,2
boloney,boloney,n,3
bolshie,bolshie,n,3
bolsons,bolson,n,3
bolster,bolster,n|v,1
bolters,bolter,n,3
boluses,bolus,n,2
bombard,bombard,n|v,2
bombast,bombast,n,2
bombers,bomber,n,1
bombing,bomb|bombing,n|v,1
bomblet,bomblet,n,3
bombora,bombora,n,3
bonacis,bonaci,n,3
bonanza,bonanza,n,2
bonbons,bonbon,n,2
bondage,bondage,n,2
bonders,bonder,n,3
bonding,bond|bonding,n|v,1
bondman,bondman,n,3
bondmen,bondman,n,3
bonducs,bonduc,n,3
bonebed,bonebed,n,3
boneset,boneset,n,3
bonfire,bonfire,n,2
bongoes,bongo,n,2
boniato,boniato,n,3
bonitas,bonita,n,3
bonitos,bonito,n,2
bonkers,bonkers,j|n,2
bonnets,bonnet,n|v,2
bonnies,bonny,n,2
bonnock,bonnock,n,3
bonobos,bonobo,n,2
bontbok,bontbok,n,3
bonuses,bonus,n,1
boobies,boobie|booby,n,2
boobird,boobird,n,3
booboos,booboo,n,3
boocoos,boocoo,n,3
boodies,boody,n,3
boodler,boodler,n,3
boogers,booger,n,2
boojums,boojum,n,3
bookbag,bookbag,n,3
bookend,bookend,n|v,2
bookers,booker,n,2
bookful,bookful,n,3
bookies,bookie,n,2
booking,book|booking,n|v,1
booklet,booklet,n,2
bookman,bookman,n,3
bookmen,bookman,n,3
bookoos,bookoo,n,3
boombox,boombox,n,2
boomers,boomer,n,1
booming,boom,j|n|v,1
boomkin,boomkin,n,3
boomlet,boomlet,n,2
boonies,boonies,n,2
booster,booster,n,1
bootees,bootee,n,3
bootery,bootery,n,3
booties,bootie|booty,n,2
bootleg,bootleg,n|v,2
boozers,boozer,n,2
boozing,booze|boozing,n|v,1
bopeeps,bopeep,n,3
boppers,bopper,n,2
boraces,borax,n,2
borages,borage,n,3
boranes,borane,n,3
boraxes,borax,n,2
borazon,borazon,n,3
bordels,bordel,n,3
borders,border,n|v,1
bordure,bordure,n,3
boredom,boredom,n,1
boreens,boreen,n,3
borides,boride,n,3
borings,boring,n,1
borking,bork|borking,n|v,3
borneol,borneol,n,3
bornite,bornite,n,3
boronia,boronia,n,3
borough,borough,n,2
borscht,borscht,n,2
borshts,borsht,n,3
borstal,borstal,n,3
bortzes,bortz,n,3
borzois,borzoi,n,3
boscage,boscage,n,3
boshbok,boshbok,n,3
boskage,boskage,n,3
boskets,bosket,n,3
bosques,bosque,n,3
bosquet,bosquet,n,3
bossdom,bossdom,n,3
bossies,bossy,n,2
bossism,bossism,n,3
bostons,boston,n,3
botcher,botcher,n,3
bothies,bothie|bothy,n,3
bothria,bothrium,n,3
botnets,botnet,n,2
bottler,bottler,n,2
bottles,bottle,n|v,1
bottoms,bottom,n|v,1
botulin,botulin,n,3
boubous,boubou,n,3
bouchee,bouchee,n,3
boucles,boucle,n,3
boudins,boudin,n,3
boudoir,boudoir,n,2
bouffes,bouffe,n,3
bougies,bougie,n,2
boulder,boulder,n|v,1
boulles,boulle,n,3
bouncer,bouncer,n,2
bounces,bounce,n|v,1
bounder,bounder,n,3
bouquet,bouquet,n,2
bourbon,bourbon,n,2
bourdon,bourdon,n,3
bournes,bourne,n,3
bourree,bourree,n,3
bourses,bourse,n,3
boursin,boursin,n,3
boutade,boutade,n,3
boutons,bouton,n,3
bouvier,bouvier,n,3
bovines,bovine,n,2
bovvers,bovver,n,3
bowfins,bowfin,n,3
bowhead,bowhead,n,2
bowings,bowing,n,2
bowknot,bowknot,n,3
bowlder,bowlder,n,3
bowlegs,bowleg,n,3
bowlers,bowler,n,2
bowlful,bowlful,n,3
bowline,bowline,n,2
bowling,bowl|bowling,n|v,1
bowpots,bowpot,n,3
bowsaws,bowsaw,n,3
bowsers,bowser,n,3
bowshot,bowshot,n,3
bowsman,bowsman,n,3
bowsmen,bowsman,n,3
bowwood,bowwood,n,3
bowyers,bowyer,n,3
boxball,boxball,n,3
boxcars,boxcar,n,2
boxfish,boxfish,n,3
boxfuls,boxful,n,3
boxings,boxing,n,1
boxwood,boxwood,n,2
boyards,boyard,n,3
boychik,boychik,n,3
boycott,boycott,n|v,1
boyhood,boyhood,n,2
bracero,bracero,n,2
